X,Y,Z,α,β,γ,unipolar(mV),bipolar(mV),LAT(ms)
76.2395,-52.6189,139.086,0.0825124,0.653979,-0.751999,5.967,0.21,-64
74.2409,-42.2097,147.177,0.00357827,0.113324,-0.993552,6.162,0.297,-34
74.4923,-41.4078,139.227,0.0592803,0.0871778,-0.994427,5.814,0.054,-10000
73.3761,-46.572,133.263,0.235088,0.97197,-0.00280842,6.255,0.045,-10000
76.7277,-53.4458,139.545,0.0450557,0.803749,-0.59326,5.457,0.183,-64
76.2256,-51.0073,142.737,0.318231,0.667274,-0.673405,5.388,0.222,-64
76.53,-45.3005,137.784,-0.236819,0.777727,-0.582286,5.421,0.054,-10000
73.9258,-42.6865,148.084,-0.0102566,0.118316,-0.992923,5.628,0.273,-33
74.1711,-41.8052,140.146,0.0715654,0.102079,-0.992199,5.319,0.051,-10000
67.4259,-46.9304,144.678,0.492623,0.386029,-0.779938,5.547,0.045,-10000
71.4361,-43.7397,138.538,0.509988,0.411705,-0.755256,5.547,0.048,-10000
76.4621,-47.0035,139.409,-0.228821,0.769164,-0.596681,5.748,0.045,-10000
74.0258,-43.3422,141.7,0.0960326,0.0598516,-0.993577,5.673,0.045,-10000
67.4565,-48.5595,146.341,0.488394,0.38721,-0.78201,5.859,0.027,-10000
71.4333,-45.4265,140.147,0.505817,0.396046,-0.766353,5.847,0.039,-10000
73.6497,-48.7928,135.736,0.130314,0.991462,0.00455885,6.081,0.045,-95
75.723,-54.9032,147.506,0.15597,0.708051,-0.688721,5.478,0.207,-57
75.2356,-49.5377,141.942,-0.276831,0.644159,-0.713038,5.628,0.039,-10000
72.7735,-45.9077,143.663,0.05429,-0.0553224,-0.996992,5.502,0.042,-10000
66.505,-50.5483,149.073,0.417127,0.361893,-0.83369,5.694,0.042,-10000
70.0949,-47.9764,142.419,0.480699,0.281386,-0.830512,5.712,0.045,-10000
70.723,-59.6302,139.291,0.183562,0.946302,-0.266117,6.111,0.072,-106
72.0775,-51.9146,138.01,0.155744,0.986255,-0.0551873,5.946,0.036,-10000
74.4899,-57.0767,143.155,0.0945668,0.769776,-0.631271,5.712,0.321,-54
74.4286,-54.6759,145.995,0.27648,0.694262,-0.664498,5.61,0.204,-57
74.6764,-49.04,140.781,-0.211211,0.728316,-0.651878,5.688,0.036,-10000
72.2115,-45.7434,150.735,-0.0779875,0.0845105,-0.993366,5.85,0.171,-32
72.299,-45.3455,142.794,0.0997563,0.0151839,-0.994896,5.613,0.039,-10000
65.5444,-50.0205,147.646,0.470526,0.383846,-0.794524,5.781,0.036,-10000
69.5744,-47.2365,141.337,0.537359,0.312429,-0.783347,5.763,0.039,-10000
75.0825,-47.0154,139.585,-0.201859,0.764285,-0.612472,5.499,0.075,-10000
72.4788,-44.1085,149.734,0.0104158,0.147302,-0.989037,5.829,0.324,-33
72.8461,-43.316,141.801,0.0814425,0.0509835,-0.995373,5.418,0.051,-10000
65.8539,-48.0438,146.469,0.490892,0.357494,-0.794495,5.688,0.042,-10000
69.9916,-45.2216,140.237,0.543694,0.348163,-0.763662,5.652,0.048,-10000
72.0145,-48.7738,136.047,0.218092,0.975441,-0.0308498,5.895,0.051,-10000
72.6053,-47.5167,133.837,0.217713,0.975559,-0.0297731,6.105,0.063,-94
77.3953,-51.2545,136.374,0.0462199,0.846717,-0.530032,5.631,0.255,-65
